Node_Config Probability Error
00100100111111111000000100 0.003105 0.000130
00111111111111111000001100 0.004979 0.000043
11000001000000000111110110 0.014694 0.000358
00101110111111111000001000 0.024812 0.000144
11010011000000000111111110 0.045288 0.000264
11011001000000000111110111 0.001263 0.000043
00101110111111111000001001 0.024654 0.000140
00100000111011110001110101 0.000010 0.000005
11010011000000000111111111 0.046113 0.000846
11010011000000000111110111 0.002732 0.000060
11000001000000000111110011 0.011997 0.000096
00101000111111111000000000 0.005544 0.000132
00111010111111111000001101 0.001067 0.000032
11010001000000000111110111 0.024869 0.000318
11010001000000000111110110 0.024658 0.000276
00101100111111111000000001 0.045644 0.000356
11010111000000000111111010 0.005010 0.000143
00101110111111111000001101 0.020440 0.000104
00101100111111111000000000 0.046297 0.000264
11010001000000000111110011 0.020337 0.000292
00101100111111111000000101 0.033227 0.000321
11010011000000000111111011 0.033141 0.000353
11000001000000000111110010 0.011868 0.000148
00111111111111111000001000 0.007354 0.000116
01110111111011100011111110 0.000308 0.000017
11010111110001001010001010 0.000001 0.000002
01110111111011101011001111 0.000041 0.000002
11010001000000000111110010 0.020324 0.000208
11000001000000000111110111 0.015208 0.000071
11000000000000000111110010 0.004383 0.000049
11011011000000000111111111 0.005386 0.000082
11000000000000000111110110 0.006426 0.000066
00101110111111111000000000 0.003177 0.000101
11010011000000000111111010 0.032967 0.000443
00101110111111111000001100 0.020441 0.000200
00111110111111111000001101 0.011640 0.000108
00111110111111111000001000 0.015065 0.000198
11011011000000000111111110 0.005474 0.000105
00111011111111111000001001 0.000264 0.000036
00100100111011110001110101 0.000097 0.000023
11010011001000000111111010 0.000858 0.000021
11010101000000000111110010 0.001940 0.000041
01110101011011000011110111 0.000033 0.000010
00101110110111111000001100 0.000722 0.000091
01110111111011000011111001 0.001396 0.000028
00100000111011110101100100 0.000001 0.000002
00101010111111111000001101 0.002031 0.000052
00010110111111111000001100 0.000027 0.000005
00101110111111111000000101 0.002496 0.000058
10001000000100010100100001 0.000444 0.000046
00101100110111111000000100 0.000876 0.000066
00111110111111111000001100 0.012479 0.000119
11010001000000000111111110 0.003229 0.000074
11000000000000000111110111 0.007453 0.000087
00101000001100111100000111 0.000065 0.000008
11010011001000000111111110 0.001604 0.000042
11010001001000000111110111 0.001167 0.000016
00111111111111111000001001 0.006479 0.000107
00111110111111111000001001 0.014588 0.000133
10001000000100111100000100 0.001869 0.000050
10001000000100010100110101 0.000360 0.000020
11010111000000000111111110 0.005049 0.000012
10001000000100010101110111 0.000022 0.000005
11010001000000000111111111 0.003133 0.000082
00101100111111111000000100 0.032922 0.000184
00100100111111111000000001 0.005731 0.000038
01110101111011101011010000 0.000235 0.000016
10101010000100111100001000 0.000038 0.000003
00101000111111111000000001 0.005015 0.000068
11010001000000000111111010 0.002477 0.000099
01010011011011100011111111 0.000004 0.000003
00101100111111111000001000 0.002845 0.000058
11010111000000000111111011 0.006082 0.000117
11000100000000000111110110 0.000296 0.000045
11011011000000000111111011 0.003040 0.000050
10001000000101010100100100 0.000055 0.000015
