Node_Config Probability Error
0110111111111000000001 0.005958 0.000034
0100111011110001110001 0.000009 0.000004
1110001100001110100110 0.000003 0.000002
0111111111111000001101 0.030039 0.000344
1000001000000111111111 0.002552 0.000062
1000010001000011110011 0.000129 0.000008
1000000000000111111110 0.048803 0.000452
1000000000000111110110 0.041603 0.000110
0111111111111000001001 0.041650 0.000633
0111111111111000001000 0.044394 0.000065
1010000000000111111011 0.005017 0.000057
0101111111111000001101 0.003085 0.000126
0111111111111000000101 0.034486 0.000504
1000000000000111110011 0.031433 0.000175
0111111111111000001100 0.031515 0.000271
0110111111111000000100 0.005856 0.000061
0111111111111000000001 0.049059 0.000572
0110111111111000001000 0.005068 0.000045
1010000000000111110011 0.003927 0.000107
0101111111111000000000 0.008029 0.000081
0101111111111000001001 0.006215 0.000109
1010000100011100000111 0.001338 0.000088
1000000000000111111011 0.035692 0.000227
1001010001000011111010 0.000602 0.000019
1000000000000111111010 0.034408 0.000079
1000000001010100110100 0.000021 0.000011
0111111111111000000100 0.035506 0.000393
1010000000000111111110 0.008295 0.000203
1000000000000111110111 0.044230 0.000287
0111111111111000000000 0.050471 0.000320
1010000100011100000011 0.000715 0.000020
0101111111111000001000 0.006879 0.000098
1000000000000111111111 0.050705 0.000238
1000000000000111110010 0.029864 0.000105
1001000000000111110110 0.004468 0.000064
0110111111111000000000 0.006080 0.000040
1010000100011100000101 0.001820 0.000064
0001111011100011111011 0.000124 0.000012
1001000000000111110111 0.004892 0.000129
0101111111111000000100 0.004880 0.000079
1110000010000111110111 0.000021 0.000009
1010000000000111111010 0.004541 0.000054
1001110011000011110000 0.000023 0.000004
1000001000000111111110 0.002433 0.000020
0111101110111000000001 0.000039 0.000015
1001000000000111111111 0.006264 0.000041
1110100100111100000001 0.000139 0.000006
1010000100010100101001 0.000088 0.000014
1010000000000111110010 0.003127 0.000077
1010000100011100000001 0.001036 0.000010
0110111111111000001101 0.003867 0.000145
1010000100111100001100 0.000309 0.000004
1010000000000111111111 0.008091 0.000219
0110111111111000000101 0.005461 0.000062
1001000000000111111110 0.005873 0.000004
0101111011110001111101 0.000159 0.000038
0101111011100011111101 0.000941 0.000004
0101111011000011111010 0.000339 0.000018
0111111011100011111111 0.000138 0.000022
1001010001000011110011 0.000355 0.000052
1010000100010100001101 0.000130 0.000034
0101111011101011011001 0.000062 0.000008
0001011011000011111111 0.000191 0.000016
1110101110110100101101 0.000015 0.000006
1110000000010101110100 0.000003 0.000002
1010000101011100000101 0.000120 0.000020
1001000100011100000000 0.000023 0.000013
1001000000000111110010 0.003803 0.000139
0101111011110001011001 0.000786 0.000022
