Node_Config Probability Error
00001001 0.013579 0.000369
11001100 0.086096 0.000699
00001101 0.048521 0.001059
00110011 0.086083 0.001031
10110011 0.059621 0.000475
01110110 0.005246 0.000299
00110001 0.009242 0.000189
11100110 0.006504 0.000158
00110010 0.080350 0.001181
11110010 0.047958 0.000361
10101101 0.007483 0.000354
10110010 0.031783 0.000128
00110110 0.030388 0.000824
01001001 0.010396 0.000279
11011011 0.000400 0.000037
11001110 0.009154 0.000097
11001101 0.080363 0.000710
01001100 0.058042 0.000235
00001100 0.010963 0.000214
10111101 0.001496 0.000087
11001001 0.030542 0.000554
11001010 0.001071 0.000056
01110010 0.018471 0.000431
11110001 0.000504 0.000062
10001101 0.018283 0.000269
01001101 0.031254 0.000537
11000010 0.002667 0.000087
11110110 0.013912 0.000807
11000110 0.009708 0.000480
00101101 0.015371 0.000103
11110011 0.011521 0.000243
11010011 0.006542 0.000226
11101100 0.001588 0.000027
00101100 0.006671 0.000185
10110110 0.010037 0.000292
00100110 0.001125 0.000054
10011001 0.001917 0.000101
10110001 0.005650 0.000097
00111001 0.010121 0.000174
11011001 0.001025 0.000027
00011001 0.006325 0.000062
01011100 0.000129 0.000039
01010010 0.007633 0.000192
01010110 0.001900 0.000082
00110101 0.001079 0.000052
11010010 0.015342 0.000343
01001110 0.005796 0.000384
00010010 0.000533 0.000048
00110000 0.000417 0.000078
11000111 0.000283 0.000072
00010011 0.001675 0.000044
11101110 0.001054 0.000041
10100101 0.000229 0.000021
11011010 0.000212 0.000044
01101100 0.000696 0.000091
11010110 0.003117 0.000216
11001011 0.001025 0.000057
00111100 0.001362 0.000112
00111101 0.002658 0.000102
01101110 0.000725 0.000108
11111001 0.000450 0.000092
10101001 0.001792 0.000024
10111001 0.006687 0.000230
00101011 0.000208 0.000087
10111110 0.000033 0.000029
11100010 0.001154 0.000127
00101000 0.000113 0.000020
01011011 0.000217 0.000046
01000110 0.006108 0.000393
01100110 0.002117 0.000092
11001000 0.001004 0.000093
00100100 0.000287 0.000037
11100100 0.000275 0.000057
00001011 0.000179 0.000029
10001001 0.004929 0.000261
00100101 0.000242 0.000036
10011101 0.000279 0.000006
10101100 0.001729 0.000031
10010001 0.000675 0.000081
01011001 0.000379 0.000093
00101001 0.002946 0.000119
01011010 0.000208 0.000056
10110111 0.000846 0.000031
10111100 0.000325 0.000047
00011101 0.001175 0.000080
01010011 0.001700 0.000051
00111000 0.000246 0.000046
00001110 0.000554 0.000031
10100110 0.000446 0.000138
11010001 0.001367 0.000047
01011110 0.000229 0.000101
01100010 0.000246 0.000021
11000011 0.001308 0.000060
01010001 0.000508 0.000021
10011011 0.000088 0.000035
11111010 0.000175 0.000074
00000110 0.000383 0.000048
01001011 0.000254 0.000024
10111011 0.000158 0.000029
11011000 0.000067 0.000012
00010001 0.001033 0.000109
00111010 0.000083 0.000033
11010000 0.000083 0.000016
01001000 0.000808 0.000029
01000011 0.000354 0.000021
11000100 0.000150 0.000047
00000011 0.000200 0.000071
00110100 0.000913 0.000035
10100100 0.000217 0.000041
10101011 0.000192 0.000031
00011100 0.000292 0.000085
01000010 0.001646 0.000066
00000101 0.000179 0.000036
00101110 0.001237 0.000154
01001010 0.000792 0.000062
11101001 0.000108 0.000062
11101101 0.000650 0.000062
00101010 0.000133 0.000052
11111110 0.000171 0.000021
01110000 0.000017 0.000006
00010110 0.000117 0.000016
11100101 0.000042 0.000036
11100001 0.000042 0.000026
00110111 0.001075 0.000082
10101010 0.000033 0.000024
10100010 0.000075 0.000047
10001100 0.000321 0.000021
00000001 0.000171 0.000006
10010011 0.000717 0.000066
00000100 0.000092 0.000036
00011110 0.000063 0.000037
10100111 0.000121 0.000021
01111000 0.000008 0.000006
01111110 0.000050 0.000018
10110101 0.000658 0.000006
10101110 0.000458 0.000082
01010101 0.000037 0.000018
01110011 0.000367 0.000026
11111100 0.000221 0.000118
11100011 0.000212 0.000010
11010100 0.000221 0.000031
01001111 0.000100 0.000027
11110100 0.000213 0.000047
10110000 0.000146 0.000016
11011110 0.000200 0.000057
11101010 0.000079 0.000016
00001111 0.000096 0.000024
11100111 0.000104 0.000047
00111011 0.000179 0.000039
00000111 0.000067 0.000033
11110000 0.000133 0.000036
01000111 0.000087 0.000027
10000001 0.000075 0.000020
01010111 0.000033 0.000024
11001111 0.000408 0.000118
00100001 0.000233 0.000021
11111101 0.000100 0.000018
01100100 0.000087 0.000018
00100000 0.000008 0.000006
10100011 0.000158 0.000041
00010100 0.000046 0.000021
01010000 0.000088 0.000041
11000001 0.000117 0.000046
00100010 0.000158 0.000026
00010000 0.000033 0.000016
11011100 0.000204 0.000086
01000100 0.000196 0.000012
11010101 0.000125 0.000020
10100001 0.000183 0.000021
10111000 0.000050 0.000027
11101011 0.000042 0.000042
10101111 0.000096 0.000024
10111010 0.000021 0.000016
00000010 0.000037 0.000010
01010100 0.000217 0.000029
11011101 0.000217 0.000041
10110100 0.000217 0.000031
00001000 0.000083 0.000033
11010111 0.000079 0.000012
00010101 0.000117 0.000012
11110101 0.000021 0.000021
00100011 0.000242 0.000052
11000101 0.000087 0.000027
11111011 0.000125 0.000051
00111110 0.000104 0.000016
01000001 0.000029 0.000006
11000000 0.000008 0.000006
00100111 0.000063 0.000027
10000101 0.000079 0.000016
10000110 0.000017 0.000012
11111000 0.000042 0.000012
01011000 0.000046 0.000024
10000100 0.000004 0.000006
11101111 0.000025 0.000010
11110111 0.000058 0.000021
00011011 0.000254 0.000016
00001010 0.000033 0.000016
01110100 0.000050 0.000027
01111010 0.000042 0.000031
00101111 0.000121 0.000021
01000101 0.000021 0.000021
10101000 0.000013 0.000010
01110001 0.000008 0.000012
00111111 0.000013 0.000010
10001110 0.000012 0.000018
10000111 0.000004 0.000006
01111100 0.000050 0.000041
10001011 0.000075 0.000037
01101010 0.000029 0.000012
00011000 0.000067 0.000024
10000011 0.000046 0.000026
10001111 0.000029 0.000012
10010010 0.000021 0.000021
10010101 0.000025 0.000027
01000000 0.000013 0.000010
01011101 0.000071 0.000016
00011010 0.000021 0.000021
01111101 0.000004 0.000006
00011111 0.000012 0.000018
01111001 0.000013 0.000010
11011111 0.000004 0.000006
10100000 0.000004 0.000006
00010111 0.000004 0.000006
11100000 0.000008 0.000012
