Node_Config Probability Error
01001 0.067067 0.000572
01010 0.029600 0.000163
11001 0.171933 0.001070
10010 0.064153 0.001820
10101 0.030167 0.000696
00010 0.033953 0.000627
11110 0.000240 0.000049
01101 0.063980 0.001429
00110 0.170207 0.002260
11010 0.072080 0.000487
00101 0.071420 0.000220
00111 0.037593 0.000834
01100 0.002333 0.000154
00000 0.000380 0.000113
10110 0.066867 0.000727
11000 0.037307 0.000415
00100 0.002113 0.000041
11101 0.032473 0.000811
10111 0.018413 0.000346
01000 0.018527 0.000650
11011 0.002140 0.000166
10011 0.002193 0.000197
11111 0.000473 0.000152
10001 0.000960 0.000016
10100 0.000487 0.000068
10000 0.000267 0.000090
11100 0.000167 0.000050
01011 0.000407 0.000062
01110 0.000833 0.000093
00001 0.000293 0.000041
01111 0.000207 0.000009
00011 0.000127 0.000077
